channelId,title,publishedAt,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCwL9u3sSDML_4oD5fHd04fg,"桃源キョウヤ / Tougen Kyoya",2018-09-26T09:20:24Z,23741,1150,False,56
UCGWZtHLzEyN4Y3yuBem3yZQ,"[旧]冬坂和斗",2018-08-01T02:00:00Z,17839,1230,False,10
UCWvAlf1Ee3tnFN67YkfKSzA,"恋ヶ窪あき【男の娘Vtuber】",2012-08-28T15:28:34Z,192074,1120,False,2267
UCteFuBM_1ueJCL0m1artT-g,"八重さくら feat.エコレボ",2019-04-02T07:59:21Z,3586,125,False,4
UCdHK5_y1TdF3vXGCITTjjAg,"乾弓ハツメのだらだら日記",2019-01-26T20:25:34Z,15953,453,False,85
UCOdSr2lxR2PBdEo7y_kz2nw,"黄昏にゃこ",2019-03-31T16:55:08Z,76259,985,False,1790
UC7wq4kxtd6VhSRn0jmOexVQ,"長閑優@甘やかしお姉さんの好きな事を好きなだけCh.",2018-05-27T09:39:52Z,314957,3140,False,244
UC2QaW4QAbBVI61ixh8TJ3Og,"月無夜",2018-11-07T13:12:44Z,18469,314,False,77
UCjEF5rZAzE4Axr2Q8D9PVbw,"アール・スカーレット",2016-10-11T23:31:46Z,45668,439,False,177
UCBodq8yxDBR_a0ONHwzQy8Q,"エキアシス Vch",2019-09-28T05:51:38Z,1924,25,False,4
