channelId,customer_illust,customer_2d_modeling,customer_3d_modeling,customer_event,customer_talk,customer_comedy,customer_game,customer_sing,customer_perform,customer_composition,customer_video_edit,customer_foreign_lng
UC5xEqzTcNkN8uFlzkoiTKgw,0,0,0,0,1,0,0,0,0,0,0,0
UC632rW4pL7yq4oGLJFfsuVA,1,0,0,0,0,0,1,0,0,0,0,0
UC63UJPlX9IF89gK0PC_3naQ,1,0,0,0,0,0,0,0,0,0,1,0
UC64lAAAboDtVyX5DohKvVnA,0,0,0,1,1,0,1,0,0,0,0,0
UC66p0k7akdIl9JG2CIyKzBg,0,0,0,0,1,0,0,0,0,0,0,0
UC6Di5wTtC1jKsKtt5pIk7hQ,0,0,0,0,0,0,1,1,0,0,1,0
UC6GmZCjSN_1D0v9qvqVEE5g,0,0,1,1,1,0,0,1,1,1,1,0
UC6K0F33utZ_KZnko18khl-Q,1,0,0,0,1,0,1,1,0,0,0,1
UC6M5X72dgfoMp27sdCU27CA,1,0,0,0,1,0,0,0,0,0,0,0
UC6MjPTgQT0_oGsBVdX5nZUw,0,0,0,0,0,0,1,0,0,0,0,0
UC6Mt9a8Mm2ZLrsP9xNOnRpw,0,0,0,1,0,0,0,0,0,0,0,1
UC6PJ5D0dI_FgTjuSwYwUK-g,1,0,0,0,0,0,0,1,0,0,0,0
UC6PqYTNa292jmY1KC5EzLAA,0,0,0,0,0,0,0,1,0,0,0,1
UC6SYWBb8lhHYKybg9Ppr56Q,1,1,0,0,0,0,0,0,0,0,0,0
UC6SsfvvMYXGRVryQkR_9jIA,1,0,1,0,0,0,0,0,0,0,0,0
UC6XEofw_jOSc1ne6F97NOTA,1,0,0,0,0,0,0,0,0,0,0,0
UC6XwBe09fowcHWMIGiaHsnA,0,0,0,0,1,1,1,1,0,0,0,1
UC6Zb58SYs25mnbTtR4ZAr9A,0,0,0,1,1,0,0,0,0,0,1,1
UC6cDW3GhZkd-3tLWLLF59tg,0,0,0,1,0,0,1,0,0,0,1,0
UC6cgUcRa_gGsjqq3Kp6B68w,0,0,0,1,1,0,0,1,0,0,0,0
UC6dhdicHtZKShC0sjIsDFHA,0,0,0,0,0,0,1,0,0,0,0,0
UC6eVhk2wg_MqHdLcB1kPvGw,0,0,0,0,0,0,0,0,0,0,0,1
UC6i23xw5sXBCl9HYPiwTpgA,0,0,0,0,0,0,1,0,0,0,0,0
UC6jtmVEyT1oh6Lo6BdSTcBg,0,0,0,0,1,0,0,0,0,0,0,0
UC6kI9UelZ7W8kOOkv6gLXUA,0,0,0,1,1,0,1,1,0,0,0,0
UC6oBJJEVjVq2PuU4A8-I5MQ,0,1,0,0,1,0,1,1,0,0,1,1
UC6rVJcRBYDColA5M02IQTqw,0,0,0,1,0,0,0,1,1,0,0,0
UC6raxFTU0y8d8_4JVwZ56YQ,1,1,0,0,0,0,0,1,0,0,0,0
UC6rnJ13gd8gX7QlOLV1Llzg,1,1,1,0,0,0,1,1,0,0,1,1
UC6ssNAVpWkBxbwWUYwJRVdg,0,0,0,0,0,0,1,0,0,0,0,0
UC6uqxSyfR4vnb--6vjfzU5A,0,0,0,0,0,0,1,0,0,0,0,0
UC6z05SC9m44YJVYFFFo3g4g,1,0,0,0,0,0,0,0,0,0,0,0
UC729_Tcmnv7_thRfdVSlk1Q,0,0,0,1,1,1,0,1,0,0,0,0
UC73DLMOm-BzwF-SelLSuxnw,0,0,0,0,1,0,0,0,0,0,0,0
UC74254idDopreMMQfNIsJFw,0,0,0,1,0,0,0,0,0,0,1,0
UC77pnz0QGqvMpJZMFTY_zLw,1,0,0,0,0,0,1,1,0,0,0,0
UC7A7bGRVdIwo93nqnA3x-OQ,0,0,0,0,0,0,0,1,0,0,1,0
UC7Ar3UTX9pqTXZKfIO7wfVw,0,0,0,1,1,0,0,0,0,0,0,0
UC7Bjbk5PlrywAY2nHSxCurg,1,1,0,0,0,0,0,0,0,0,0,0
UC7CX-YJ14nMNbxSzVcnUqMQ,0,0,0,0,1,0,1,0,0,0,0,0
UC7E0ZB2Feiq1fWCucicTR0Q,1,0,0,1,1,0,0,1,0,0,0,0
UC7FMDZMIFyuNxyc0ocPU_Kg,1,0,0,0,0,0,0,0,0,0,0,0
UC7FSigsvbXcH3qAKB8UefsQ,0,0,0,0,0,0,1,0,0,0,0,0
UC7Il508651Gtkj-4Ca-JeZg,0,0,0,1,1,1,0,1,0,0,0,0
UC7MBvGkcH3bWqmyoRjLFw_g,0,0,0,0,0,0,0,1,0,0,0,0
UC7MKzk1xlqe9pcsae5u97VA,0,0,0,1,0,0,1,0,0,0,0,0
UC7OPkXOadje491mUGcPIhAA,0,0,0,1,0,0,1,1,0,0,0,0
UC7Pfn1SEmphNP07g7YjeKLg,1,0,0,0,0,0,0,0,0,0,0,0
UC7R2tH4OhJE5Zt6L4N6bOnw,0,0,0,1,1,0,1,1,0,0,0,0
UC7SlaxqTvy-zoFbacWeJX5w,0,0,0,1,1,0,0,1,0,0,0,0
UC7W2zxRLjrjatz2KoFn_E9A,0,0,0,1,1,0,1,0,0,1,0,0
UC7WY5VP-P-rSb2ES5npk8yA,0,0,0,0,0,0,1,1,0,0,0,0
UC7WiEMYYclGCpxppbxEvbJw,0,0,0,1,0,0,1,0,0,0,0,0
UC7YWr5lwet-_0af_cUo35Kg,0,0,0,1,0,0,1,0,0,0,0,0
UC7b2UoNgCM1-ncdEg5Lb9yQ,0,0,0,0,0,0,1,0,0,0,0,0
UC7b4AbeME2fPipioiKBLjfA,0,0,0,1,1,1,1,1,0,0,0,1
UC7hJdXAlMxPQFRDBvpBzryw,0,0,0,1,1,0,1,1,0,1,0,0
UC7kiR8rqM9ojRPLYXV-wa-A,0,0,0,1,0,0,1,1,0,0,0,0
UC7lDcWB9HvRy3D7kvBOXFOA,0,0,0,0,0,0,0,0,0,1,0,0
UC7qemBGRFW6o2FZPKhZhv9g,0,0,0,0,1,0,0,0,0,0,0,0
UC7r_hkNSKN22RXRklZsPbWg,0,0,0,0,0,0,1,0,0,0,1,0
UC7s6E_gNxKYzkWWMv7fMNjA,1,0,0,0,0,0,0,0,0,0,0,1
UC7vEjdm4EFBGWkOOxxWR6bw,1,0,0,1,1,0,0,0,0,0,0,0
UC7vjGEbLNlo6ukrmeLKI7rw,0,0,0,0,0,0,1,0,0,0,1,0
UC7wq4kxtd6VhSRn0jmOexVQ,0,0,0,0,0,0,0,1,0,0,0,0
UC7xdiXo7eiR1iOzOoHi-Rlg,0,0,0,0,1,0,0,0,0,0,0,0
UC7xyzq_Hd72-IbJVoz4DSrQ,0,0,0,1,1,0,0,0,0,0,0,0
UC7z19CC8DAH2iNXwBlqTeVw,0,0,0,1,0,1,1,0,0,0,0,0
UC85cU9Q-o6_2PR_3NLisXhQ,0,0,0,0,0,0,0,0,0,0,1,1
UC85lV6xJp3YZEaAFIK8c-EQ,0,0,0,1,0,0,1,0,0,1,1,0
UC85p70c36OfpwaL8qRjzWNw,0,0,0,0,0,0,1,0,0,0,0,0
UC870IRzMEanbV-hr8HTpRBw,0,0,0,1,1,1,0,1,0,0,0,0
UC8RYKdY9W3DvmpvapUfsy4g,0,0,0,1,0,0,1,0,0,0,0,0
UC8TH5Hn4IZi4MhGW8KeIEtw,0,0,0,0,0,0,1,0,0,0,0,0
UC8XPv5NUWv-aMhSBpdKlK0w,0,0,0,0,0,0,0,0,0,0,1,0
UC8XeoIt9w0GdZPOYbFeNK0A,0,0,0,0,0,0,1,0,0,0,0,0
UC8Xfq87xcmxbKd7XL0ouVXA,0,0,0,0,0,0,1,0,0,0,0,0
UC8aB0TDbCuD7smRZwrpLc0g,1,0,1,0,0,1,1,1,0,0,1,0
UC8bq-eY02WtKG8es7tH8bCQ,0,1,0,0,0,0,1,1,0,0,0,0
UC8eEP8H5IhME_WZuWI5PSBQ,1,0,0,0,1,0,0,0,0,0,0,0
UC8eaqurxu_lRbcqu85l3iVg,1,0,0,0,0,0,0,0,0,0,0,0
UC8jqnWIyghVwMzUb2mA0tHg,1,0,0,1,1,0,0,1,0,0,1,0
UC8knjhuDug5iyn_WJkIfc6Q,0,0,0,0,0,0,0,1,0,0,0,0
UC8nZtTKVrJSgV-y93W-R1ew,0,0,0,0,0,0,0,0,0,0,1,0
UC8pHOwHgsAp2a4KYILgM0qw,0,0,0,1,0,0,0,0,0,0,0,0
UC8rvbxCrJnsL_gZZajVoNQg,0,0,0,0,1,0,1,0,0,0,1,0
UC8t73HaIIyn9OcoHGcxrmHA,1,1,0,1,1,0,1,1,0,0,0,0
UC8w23FEH1LglqQ69tj3HZ5w,0,0,0,0,0,0,1,1,0,0,0,1
UC8wIhzi7n8tw4crEXNk1HkQ,0,0,0,1,0,0,0,0,0,0,0,0
UC8yMxTziSKvQ41g6rxNcwKQ,0,0,0,0,0,0,1,0,0,0,0,0
UC8zMlzy_5Eq5-6kB_5HjYjA,0,0,0,0,1,0,1,0,0,0,0,0
UC9-e7NcdqK-ugc1L2YttNWw,1,1,0,1,0,0,1,1,0,0,0,0
UC92r6IX7Mgh42aSQSlCCzWw,0,0,0,0,0,0,0,0,0,0,0,1
UC93u-UdFfEX0RD9E4BTZEwg,0,0,0,0,1,0,1,0,0,0,0,0
UC9A0EMtmMKa6J_jL0Hkez8Q,0,0,0,1,1,0,1,0,0,0,0,0
UC9Io4j2kf_LqbKp8nwvfHSQ,0,0,0,0,0,0,1,1,1,0,1,0
UC9KAh4g-p7DCsQS60dowJ8g,0,0,0,1,1,1,0,0,0,0,0,0
