channelId,model_2d,model_3d,model_real
UC4dG8hEEyNN0xBu4OdJorgg,0,1,0
UC4drTm13k1Keo3Y04tgk6pw,1,0,0
UC4fJShb2FNijTpfTFONPdPw,1,0,0
UC4hks00UI5wextQdVkEIB-Q,1,0,1
UC4i6QCCLPbo1e1ctGwOPeXg,1,0,0
UC4ijBQknjgBzLPMzpVtlMmQ,1,0,0
UC4mNNzOFcNJ2q537uaQQRRg,1,0,0
UC4npTd2MGMpuLXol2egY2hQ,1,0,0
UC4ogJegx6joaD83KlA5a3Jw,1,1,0
UC4pwGqVlUF1FgcmxbzlLuzA,1,0,0
UC4tdzXb3MRGMw2gMS-QnmPQ,1,0,0
UC4te29cKJJX-_Rj_mt5RtYA,1,0,0
UC4uTSlt9KmbNZlpapjuvjkg,1,0,0
UC4udLbKqMmrWguTn_pjZi9w,1,0,0
UC4v_C08reJDoyMGAfIWJ7oA,1,0,0
UC4wyC0JgnE9DhoLQkKo3qgw,1,0,0
UC4z7qMOpkdlWDU945-KDywQ,1,0,0
UC5-DtmP44TYaMLzdUaBDYdg,1,0,0
UC5072XDe1tfc79CNCJuNMWQ,1,0,0
UC51WM9tOD1nwJY-q2h4z3YQ,1,0,0
UC51xec5jFwDMFLZjiYWdNKA,0,0,1
UC54WCgcp1FPqrBIu--Af0WA,1,0,0
UC54gypPh8-BdJ5-PgWLb45g,1,0,0
UC5AFilwhaXIgEuLwgeNVR3Q,1,1,0
UC5B4w5zRl9QrQiMy4Us1Kog,1,0,0
UC5Dd_fXQVPlejsurwzkwY1w,1,0,0
UC5EooKGfP-TWpSHZG6FHKMw,1,0,0
UC5F04Sqf3RruMn3ZZXjpb0g,1,0,0
UC5F6_-cT8h2-Cy0luWBlFGQ,0,1,0
UC5Gsp0cTLrIKRkz4D9yCxkQ,1,0,0
UC5HK6giI9tucFh08Z-Zf7hA,0,1,0
UC5IfVWCKCrKExk6h4lUusPg,0,1,0
UC5JJf9l3VpQ14KOPDL8pbjQ,1,0,0
UC5M2MQxRQFDZZOLeUt7-9pQ,1,0,0
UC5MGJSpvgXAxZ7KS0uecjPg,1,0,0
UC5P_25q11zSWA6wKulI4EeA,1,0,0
UC5R3E1fjcNgbNPITCzQ35Ag,1,0,0
UC5S8XSSQ9lDrYYU6s1BybxA,1,0,0
UC5SjDrYN9fAgw6t2MI_AVvQ,1,0,0
UC5TE5XS0IHeFpdak6gBEbPA,1,0,0
UC5XJnacGMzHFL_DGAePt06A,1,0,0
UC5XvKctSiQQ3NFVSfYJLJWA,1,0,0
UC5ZYEU8lkjEjnwcmDgejkBg,0,1,0
UC5_0PuQdXUgpLLZkdozq1Vw,1,0,0
UC5_BgT0Kr0pOlwgWpnWL0Ug,1,0,0
UC5cLyxwU-kuuAWtMdBa6fQg,1,0,1
UC5csJ6hBMLhxBAtJ7Mi0BsA,1,1,0
UC5dSJc8mJ8k8hFaNr5HnT_A,1,0,0
UC5dZzb_MZ0t-qoFxuUr6cLw,1,0,0
UC5e9RV8CInyHysYGNf1dyCw,1,0,0
UC5fU14mw6YTWW_T9mlQc4pw,1,0,0
UC5gRDZyHF9TTotk28E5ayPg,1,0,0
UC5jHplw91tefy6_WNlsWUAQ,0,1,0
UC5k4A1n2jGJZp8ClbS8CcyA,1,0,0
UC5kAdQItNrsFvQohkjpUbrw,1,0,0
UC5l8nYDPt1kGyiaXCfLu2Vg,1,0,0
UC5mbgO1LbIb47f1R1Nh6Xwg,0,1,0
UC5npbdFF5s4S_w2qwzNa1NA,0,1,0
UC5pnSFK3jYD6K3znLU8qZtw,1,0,0
UC5qvoaPbeI8wBF_DzU4Lbcw,1,0,0
UC5riZZ5TocmcqkBB6ARdvXA,1,1,0
UC5snfPNcLa8srbCe4dn8Wew,1,1,0
UC5tzr6Q_RS97ILxKwzmvnPA,1,0,0
UC5uOcONpcRMAIFVyIufweUw,0,1,0
UC5ugI2vwQw02Ll4g1JFPNEQ,1,0,0
UC5up3t2ijkkKujj30lwRDcw,1,0,0
UC5vSNZDjl4r7cheSyvqpryg,0,1,0
UC5vrC0uP6X0O8wILnTs13rw,1,0,0
UC5x1wzRMcZ0mVlpcDXhYxzw,1,0,0
UC5xEqzTcNkN8uFlzkoiTKgw,1,1,0
UC5xLmf6d1fhrbOXbinx2VhA,1,0,0
UC5yrv9mfgWhh1sbgGVxX8uQ,1,0,0
UC5yypvZ5hpZqLfFZ3dZR7yA,1,0,0
UC62X2ubrlfHT854ls5SI59A,0,1,0
UC62aQCBOx17EjlJONx2m7LA,1,0,0
UC62j-S5ZMLWJFmy8LbmW3CA,0,1,0
UC632rW4pL7yq4oGLJFfsuVA,1,0,0
UC65woet7p7bhcjHtSbtlWQw,1,0,0
UC66p0k7akdIl9JG2CIyKzBg,0,1,0
UC672MLaj5U9_hCnA1gP3V8g,1,0,0
UC6A6wbtwlCLWwwQCY1DUOsg,1,0,0
UC6B2GCFDDDwmy-BDDoXHjTA,0,1,0
UC6Di5wTtC1jKsKtt5pIk7hQ,1,0,0
UC6FdpqS-z5iYU_8_mG9cI6g,1,0,0
UC6Fni-XxBsyMYrm5qElcdQw,1,0,0
UC6FoPaPpTVPCqxpm_hjBWzA,0,1,0
UC6GmZCjSN_1D0v9qvqVEE5g,0,1,0
UC6GuHIFuUuFrUx9A5Zuj8bw,0,1,0
UC6Hq3DI_woHvp9QU0LvWHmQ,0,1,0
UC6I9f215mMtBEcuouEyfXSg,1,0,0
UC6JQ1UQ2PHFOQUXLamwhlzg,1,0,0
UC6JjTVc-mwNU0Zu8T7LQfpw,0,1,0
UC6K0F33utZ_KZnko18khl-Q,1,0,0
UC6KQRAUBCbxaXtQOQsMfwjw,1,0,0
UC6M5X72dgfoMp27sdCU27CA,1,0,0
UC6PJ5D0dI_FgTjuSwYwUK-g,1,0,1
UC6R4CGQIv9aQ9p7fwOJZBBg,1,0,0
UC6RXHtmJGLXl6g1AtYnWsbg,1,0,0
UC6Sql5DNwLLjoz_sovcXQMg,1,0,0
UC6SsfvvMYXGRVryQkR_9jIA,0,1,0
UC6UMRSq0LTA9hgJwh2y0Ljw,1,0,0
