channelId,customer_illust,customer_2d_modeling,customer_3d_modeling,customer_event,customer_talk,customer_comedy,customer_game,customer_sing,customer_perform,customer_composition,customer_video_edit,customer_foreign_lng,cluster
UC5F6_-cT8h2-Cy0luWBlFGQ,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC5Gsp0cTLrIKRkz4D9yCxkQ,1,0,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC5HS-IecqatQ45Mm41z5B8w,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC5ILsOVPu0-0ZdGKGoabnSQ,0,0,0,1,1,0,1,1,0,0,0,0,1:特技なし
UC5J9kElSRDDlaQc2-BSKLoQ,0,0,0,1,1,0,1,1,0,0,0,0,1:特技なし
UC5ND6tPAuicyh6vA71TbDqQ,0,0,0,0,0,0,1,1,0,0,0,0,5:音楽・外国語
UC5OB45jE0XqRyXdGETY-2-w,1,1,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC5P_25q11zSWA6wKulI4EeA,0,0,0,1,0,0,1,0,0,0,0,0,3:お笑い・企画
UC5R3E1fjcNgbNPITCzQ35Ag,0,0,0,1,1,0,1,0,0,0,0,0,3:お笑い・企画
UC5SjDrYN9fAgw6t2MI_AVvQ,0,0,0,0,1,0,1,0,0,0,0,0,1:特技なし
UC5XJnacGMzHFL_DGAePt06A,0,0,0,0,1,1,1,0,0,0,0,0,3:お笑い・企画
UC5XvKctSiQQ3NFVSfYJLJWA,0,0,0,0,0,0,0,1,0,0,0,0,5:音楽・外国語
UC5_0PuQdXUgpLLZkdozq1Vw,1,0,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC5_BgT0Kr0pOlwgWpnWL0Ug,1,0,0,0,0,0,1,0,0,0,0,0,4:イラスト・モデリング
UC5_nDyH-003dh1nZy8lVHlg,0,0,0,0,0,0,1,1,0,0,0,0,5:音楽・外国語
UC5bMZHMUB5e9h0psau1Az_w,0,0,0,1,1,1,1,0,0,0,0,0,3:お笑い・企画
UC5cLyxwU-kuuAWtMdBa6fQg,0,0,0,0,1,0,0,1,0,0,0,0,1:特技なし
UC5cbSyFTohO2_PJAqr-6NFA,0,0,0,1,0,0,0,1,0,0,1,0,3:お笑い・企画
UC5csJ6hBMLhxBAtJ7Mi0BsA,0,0,0,0,1,0,0,1,0,0,0,0,1:特技なし
UC5dSJc8mJ8k8hFaNr5HnT_A,0,0,0,0,1,1,0,0,0,0,1,0,3:お笑い・企画
UC5gRDZyHF9TTotk28E5ayPg,1,1,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC5k4A1n2jGJZp8ClbS8CcyA,1,0,0,0,0,0,1,1,1,0,1,0,6:動画編集
UC5snfPNcLa8srbCe4dn8Wew,0,0,0,1,0,0,1,0,0,0,0,0,3:お笑い・企画
UC5xEqzTcNkN8uFlzkoiTKgw,0,0,0,0,1,0,0,0,0,0,0,0,1:特技なし
UC632rW4pL7yq4oGLJFfsuVA,1,0,0,0,0,0,1,0,0,0,0,0,4:イラスト・モデリング
UC63UJPlX9IF89gK0PC_3naQ,1,0,0,0,0,0,0,0,0,0,1,0,6:動画編集
UC64lAAAboDtVyX5DohKvVnA,0,0,0,1,1,0,1,0,0,0,0,0,3:お笑い・企画
UC66p0k7akdIl9JG2CIyKzBg,0,0,0,0,1,0,0,0,0,0,0,0,1:特技なし
UC6Di5wTtC1jKsKtt5pIk7hQ,0,0,0,0,0,0,1,1,0,0,1,0,6:動画編集
UC6GmZCjSN_1D0v9qvqVEE5g,0,0,1,1,1,0,0,1,1,1,1,0,5:音楽・外国語
UC6K0F33utZ_KZnko18khl-Q,1,0,0,0,1,0,1,1,0,0,0,1,5:音楽・外国語
UC6M5X72dgfoMp27sdCU27CA,1,0,0,0,1,0,0,0,0,0,0,0,4:イラスト・モデリング
UC6MjPTgQT0_oGsBVdX5nZUw,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC6Mt9a8Mm2ZLrsP9xNOnRpw,0,0,0,1,0,0,0,0,0,0,0,1,5:音楽・外国語
UC6PJ5D0dI_FgTjuSwYwUK-g,1,0,0,0,0,0,0,1,0,0,0,0,4:イラスト・モデリング
UC6PqYTNa292jmY1KC5EzLAA,0,0,0,0,0,0,0,1,0,0,0,1,5:音楽・外国語
UC6SYWBb8lhHYKybg9Ppr56Q,1,1,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC6SsfvvMYXGRVryQkR_9jIA,1,0,1,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC6XEofw_jOSc1ne6F97NOTA,1,0,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC6XwBe09fowcHWMIGiaHsnA,0,0,0,0,1,1,1,1,0,0,0,1,5:音楽・外国語
UC6Zb58SYs25mnbTtR4ZAr9A,0,0,0,1,1,0,0,0,0,0,1,1,5:音楽・外国語
UC6cDW3GhZkd-3tLWLLF59tg,0,0,0,1,0,0,1,0,0,0,1,0,6:動画編集
UC6cgUcRa_gGsjqq3Kp6B68w,0,0,0,1,1,0,0,1,0,0,0,0,3:お笑い・企画
UC6dhdicHtZKShC0sjIsDFHA,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC6eVhk2wg_MqHdLcB1kPvGw,0,0,0,0,0,0,0,0,0,0,0,1,5:音楽・外国語
UC6i23xw5sXBCl9HYPiwTpgA,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC6jtmVEyT1oh6Lo6BdSTcBg,0,0,0,0,1,0,0,0,0,0,0,0,1:特技なし
UC6kI9UelZ7W8kOOkv6gLXUA,0,0,0,1,1,0,1,1,0,0,0,0,1:特技なし
UC6oBJJEVjVq2PuU4A8-I5MQ,0,1,0,0,1,0,1,1,0,0,1,1,6:動画編集
UC6rVJcRBYDColA5M02IQTqw,0,0,0,1,0,0,0,1,1,0,0,0,5:音楽・外国語
UC6raxFTU0y8d8_4JVwZ56YQ,1,1,0,0,0,0,0,1,0,0,0,0,4:イラスト・モデリング
UC6rnJ13gd8gX7QlOLV1Llzg,1,1,1,0,0,0,1,1,0,0,1,1,6:動画編集
UC6ssNAVpWkBxbwWUYwJRVdg,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC6uqxSyfR4vnb--6vjfzU5A,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC6z05SC9m44YJVYFFFo3g4g,1,0,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC729_Tcmnv7_thRfdVSlk1Q,0,0,0,1,1,1,0,1,0,0,0,0,3:お笑い・企画
UC73DLMOm-BzwF-SelLSuxnw,0,0,0,0,1,0,0,0,0,0,0,0,1:特技なし
UC74254idDopreMMQfNIsJFw,0,0,0,1,0,0,0,0,0,0,1,0,6:動画編集
UC77pnz0QGqvMpJZMFTY_zLw,1,0,0,0,0,0,1,1,0,0,0,0,4:イラスト・モデリング
UC7A7bGRVdIwo93nqnA3x-OQ,0,0,0,0,0,0,0,1,0,0,1,0,6:動画編集
UC7Ar3UTX9pqTXZKfIO7wfVw,0,0,0,1,1,0,0,0,0,0,0,0,3:お笑い・企画
UC7Bjbk5PlrywAY2nHSxCurg,1,1,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC7CX-YJ14nMNbxSzVcnUqMQ,0,0,0,0,1,0,1,0,0,0,0,0,1:特技なし
UC7E0ZB2Feiq1fWCucicTR0Q,1,0,0,1,1,0,0,1,0,0,0,0,4:イラスト・モデリング
UC7FMDZMIFyuNxyc0ocPU_Kg,1,0,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC7FSigsvbXcH3qAKB8UefsQ,0,0,0,0,0,0,1,0,0,0,0,0,2:ゲーム
UC7Il508651Gtkj-4Ca-JeZg,0,0,0,1,1,1,0,1,0,0,0,0,3:お笑い・企画
UC7MBvGkcH3bWqmyoRjLFw_g,0,0,0,0,0,0,0,1,0,0,0,0,5:音楽・外国語
UC7MKzk1xlqe9pcsae5u97VA,0,0,0,1,0,0,1,0,0,0,0,0,3:お笑い・企画
UC7OPkXOadje491mUGcPIhAA,0,0,0,1,0,0,1,1,0,0,0,0,5:音楽・外国語
UC7Pfn1SEmphNP07g7YjeKLg,1,0,0,0,0,0,0,0,0,0,0,0,4:イラスト・モデリング
UC7R2tH4OhJE5Zt6L4N6bOnw,0,0,0,1,1,0,1,1,0,0,0,0,1:特技なし
UC7SlaxqTvy-zoFbacWeJX5w,0,0,0,1,1,0,0,1,0,0,0,0,3:お笑い・企画
